archive_code,agenda_item_archive_code,title,start_seconds,end_seconds,topic,transcript,direct_url,verification_status
SP-VID-2024-0618-J3,SP-AI-2024-0618-A,Phase I Construction Agreement discussion,15449,,Stewart Park Phase I construction,,https://www.youtube.com/watch?v=4rJ-kAwq3qE&t=15449s,verified
SP-VID-2024-0618-J4,SP-AI-2024-0618-B,PlaceWorks Amendment No. 1 discussion,15838,,Construction administration,,https://www.youtube.com/watch?v=4rJ-kAwq3qE&t=15838s,verified
SP-VID-2026-0721-J4,SP-AI-2026-0721-J4,ORLP Grant Agreement discussion,12200,,Stewart Park Phase II grant,,https://www.youtube.com/watch?v=9Cs24uKDkN0&t=12200s,verified
SP-VID-2026-0721-J5,SP-AI-2026-0721-J5,PlaceWorks Amendment No. 4 discussion,12200,,Phase II design and construction support,,https://www.youtube.com/watch?v=9Cs24uKDkN0&t=12200s,verified
SP-VID-2026-0203-G5,SP-AI-2026-0203-G5,Third PlaceWorks Amendment consent-calendar approval,11675,11727,Contract extension and consent-calendar vote,,https://www.youtube.com/watch?v=sfwHehdE6yA&t=11675s,verified
SP-VID-2026-0505-J6,SP-AI-2026-0505-J6,Stewart Park Update and Discussion,9017,9901,ORLP review and construction-pause status,,https://www.youtube.com/watch?v=sVHGrTJoQZM&t=9017s,verified
SP-VID-2026-0602-J7,SP-AI-2026-0602-J7,Stewart Park Revitalization Project Status Update,13613,14069,State clearance and construction restart,,https://www.youtube.com/watch?v=pZeRQ4vKI3A&t=13613s,verified
